txId,location,source,message,type,lineNumber
1,Mex,list2,1,other,1
2,US,list2,-1/2,other,2
3,US,list1,"ثم نفس سقطت وبالتحديد،, جزيرتي باستخدام أن دنو. إذ هنا؟ الستار وتنصيب كان. أهّل ايطاليا، بريطانيا-فرنسا قد أخذ. سليمان، إتفاقية بين ما, يذكر الحدود أي بعد, معاملة بولندا، الإطلاق عل إيو.",other,3
4,US,list1,(╯°□°）╯︵ ┻━┻)  ,metadata,4
5,Mex,list2,999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,metadata,5
6,US,list3,NULL,other,6
7,Other,list2,社會科學院語學研究所,other,7
8,Mex,list2,울란바토르,metadata,8
9,US,list3,0/0,other,9
10,Mex,list2,"__ﾛ(,_,*)",metadata,10
11,Other,list2,!@#$%^&*(),other,11
12,US,list2,nil,other,12
13,Other,list3,‪‪test‪,other,13
14,US,list3,åß∂ƒ©˙∆˚¬…æ,metadata,14
15,Mex,list2,Z̮̞̠͙͔ͅḀ̗̞͈̻̗Ḷ͙͎̯̹̞͓G̻O̭̗̮,metadata,15
16,Mex,list3,1E+02,other,16
17,Mex,list1,(╯°□°）╯︵ ┻━┻)  ,metadata,17
18,Other,list3,-1E+02,other,18
19,Mex,list3,0.00,metadata,19
20,Mex,list3,⁰⁴⁵₀₁₂,other,20
21,US,list2,0️⃣ 1️⃣ 2️⃣ 3️⃣ 4️⃣ 5️⃣ 6️⃣ 7️⃣ 8️⃣ 9️⃣ 🔟,metadata,21
22,Other,list3,"ثم نفس سقطت وبالتحديد،, جزيرتي باستخدام أن دنو. إذ هنا؟ الستار وتنصيب كان. أهّل ايطاليا، بريطانيا-فرنسا قد أخذ. سليمان، إتفاقية بين ما, يذكر الحدود أي بعد, معاملة بولندا، الإطلاق عل إيو.",metadata,22
23,Other,list1,0️⃣ 1️⃣ 2️⃣ 3️⃣ 4️⃣ 5️⃣ 6️⃣ 7️⃣ 8️⃣ 9️⃣ 🔟,other,23
24,Mex,list3,社會科學院語學研究所,metadata,24
